Trading_Pair_ID,VASP_ID,VASP_Name,From_Symbol,From_Chain,To_Symbol,To_Chain,Is_Privacy,Is_Fiat
f48d81fb-052d-429e-848c-5324012fd6c8,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,BTC,,USDT,,false,false
7e159952-81f7-4b79-b5c2-f69f705e5ef1,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,ETH,,USDT,,false,false
b5b0246a-1c0e-49d0-894a-efc0ed14fa93,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,XRP,,USDT,,false,false
c4a0afdf-209d-44b5-ab92-b5a2ec5b8db2,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,ADA,,USDT,,false,false
9ec7187b-0d6f-4f72-bedb-e4833058d0d4,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,SUI,,USDT,,false,false
9688ff35-1981-45aa-8b92-6d518b9bfe8f,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,SOL,,USDT,,false,false
76e44185-dcfb-4336-afd2-8040e5245acf,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,BNB,,USDT,,false,false
54a6ad26-0ba2-4d43-9f27-28b371d4cc31,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,DOGE,,USDT,,false,false
9206ac21-837b-47df-94d9-c0a643114f02,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,INJ,,USDT,,false,false
77f34d93-be7f-4e7a-882e-7cedf21f6132,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,PEPE,,USDT,,false,false
7f98cf68-6106-4329-8e90-dc1934251384,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,WLD,,USDT,,false,false
20ef0473-1ce6-4c31-be36-16ff08a96a00,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,FIL,,USDT,,false,false
bab7ef74-bd58-4ccd-a6e6-f9b7d1965c84,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,OP,,USDT,,false,false
8380f48a-1fbf-46e2-a89d-741fbeccd547,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,NEAR,,USDT,,false,false
b03fd0fc-630e-4310-b307-af5129901fd9,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,ENA,,USDT,,false,false
90df4eaa-826f-4263-a2d6-39186f8c1eb5,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,RENDER,,USDT,,false,false
d9c607f6-6490-401f-ba7d-68955d2c7d1a,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,HIGH,,USDT,,false,false
73b8e6c0-fafd-4577-bf3a-0ad286a16c1c,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,ORDI,,USDT,,false,false
e15fdf07-42bb-4529-9316-a7387bc71662,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,ARB,,USDT,,false,false
8458c86a-4fa7-4cff-a5a1-0b1ef28cd060,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,AVAX,,USDT,,false,false
4e9b020e-376a-4fbb-81fa-a534f54b027c,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,ETHFI,,USDT,,false,false
d681ecaf-232c-4c03-8249-13dc7ca1611a,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,SHIB,,USDT,,false,false
aee7486b-b05d-4339-81d1-4cdf8b1a0150,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,BOME,,USDT,,false,false
258a0103-fb4d-4a24-8037-5e1c7e9984f2,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,W,,USDT,,false,false
fea28880-8f08-41eb-b36b-9932444f19ce,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,EOS,,USDT,,false,false
e010ba82-4691-4b42-9249-633c6c2de14c,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,NOT,,USDT,,false,false
ffeaeb87-3b99-4e56-9271-4cdadc2a8eaf,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,TRX,,USDT,,false,false
2b726359-b5c9-423b-855b-f200c0c0fcea,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,ATOM,,USDT,,false,false
64d67052-8c1d-4def-8bf2-605fc2c78be9,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,LINK,,USDT,,false,false
54f375d6-20eb-4286-97cd-47b186657f2c,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,POL,,USDT,,false,false
